"Len","P31","P50","P356","P1476","P1433","P577"
"Direct and indirect effects of sediment pulse duration on stream invertebrate assemblages and rainbow trout (Oncorhynchus mykiss) growth and survival","Q13442814","Q56794616","10.1139/f01-160","Direct and indirect effects of sediment pulse duration on stream invertebrate assemblages and rainbow trout (Oncorhynchus mykiss) growth and survival","Canadian Journal of Fisheries and Aquatic Sciences","2011-04-24"
"Discharge–calcium concentration relationships in streams of the Amazon and Cerrado of Brazil: soil or land use controlled","Q13442814","Mark Johnson","10.1007/s10533-011-9574-2","Discharge–calcium concentration relationships in streams of the Amazon and Cerrado of Brazil: soil or land use controlled","Biogeochemistry","2011-02-22"
"Disinfection by-products (DBPs) in drinking water and predictive models for their occurrence: a review","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2003.05.001","Disinfection by-products (DBPs) in drinking water and predictive models for their occurrence: a review","Science of The Total Environment","2004-03-25"
"Disinfection by-products in drinking water: occurrence, health issues","Q13442814","Rehan Sadiq","10.1021/bk-2008-0995.fw001","Disinfection by-products in drinking water: occurrence, health issues","ACS Symposium Series","2009-07-24"
"Disinfection byproducts in Canadian provinces: associated cancer risks and medical expenses","Q13442814","Rehan Sadiq","10.1016/j.jhazmat.2011.01.085","Disinfection byproducts in Canadian provinces: associated cancer risks and medical expenses","Journal of Hazardous Materials","2011-01-27"
"Displacement characteristics of coarse fluvial bed sediment","Q13442814","Marwan Hassan","10.1029/2012jf002374","Displacement characteristics of coarse fluvial bed sediment","Journal of Geophysical Research: Earth Surface","2012-12-07"
"Dissolved Methane Harvesting Using Omniphobic Membranes for Anaerobically Treated Wastewaters","Q13442814","Jongho Lee","10.1021/acs.estlett.9b00076.s001","Dissolved Methane Harvesting Using Omniphobic Membranes for Anaerobically Treated Wastewaters","American Chemical Society (ACS)","2020-04-09"
"Dissolved Methane Harvesting Using Omniphobic Membranes for Anaerobically Treated Wastewaters","Q13442814","Jongho Lee","10.1021/acs.estlett.9b00076","Dissolved Methane Harvesting Using Omniphobic Membranes for Anaerobically Treated Wastewaters","Environmental Science & Technology Letters","2019-03-06"
"Dissolved methane recovery from anaerobically treated wastewaters using solvent-based membrane contactor: An experimental and modelling study","Q13442814","Jongho Lee","10.1016/j.seppur.2020.118004","Dissolved methane recovery from anaerobically treated wastewaters using solvent-based membrane contactor: An experimental and modelling study","Separation and Purification Technology","2020-11-05"
"Distance of movement of coarse particles in gravel bed streams","Q13442814","Marwan Hassan","10.1029/90wr02762","Distance of movement of coarse particles in gravel bed streams","Water Resources Research","2004-02-04"
"Distribuição espacial da granulometria, cor e carbono orgânico do solo ao longo de um transecto em microbacias na Amazônia meridional","Q13442814","Mark Johnson","10.1590/s0044-59672008000400015","Distribuição espacial da granulometria, cor e carbono orgânico do solo ao longo de um transecto em microbacias na Amazônia meridional","Acta Amazonica","2009-02-04"
"Distribuição espacial de carbono em solo sob floresta primária na Amazônia meridional","Q13442814","Mark Johnson","10.1590/s0100-67622007000100010","Distribuição espacial de carbono em solo sob floresta primária na Amazônia meridional","Revista Árvore","2007-04-11"
"Distribution of arsenic and copper in sediment pore water: an ecological risk assessment case study for offshore drilling waste discharges","Q13442814","Rehan Sadiq","10.1111/j.0272-4332.2003.00403.x","Distribution of arsenic and copper in sediment pore water: an ecological risk assessment case study for offshore drilling waste discharges","Risk Analysis","2003-12-01"
"Distribution of heavy metals in sediment pore water due to offshore discharges: an ecological risk assessment","Q13442814","Rehan Sadiq","10.1016/s1364-8152(03)00010-0","Distribution of heavy metals in sediment pore water due to offshore discharges: an ecological risk assessment","Environmental Modelling & Software","2003-04-30"
"Distribution of surface shear forces and bubble characteristics in full-scale gas sparged submerged hollow fiber membrane modules","Q13442814","Pierre Bérubé","10.1016/j.desal.2011.07.050","Distribution of surface shear forces and bubble characteristics in full-scale gas sparged submerged hollow fiber membrane modules","Desalination","2011-08-18"
"Distribution of surface shear stress for a densely packed submerged hollow fiber membrane system","Q13442814","Pierre Bérubé","10.1016/j.desal.2014.11.014","Distribution of surface shear stress for a densely packed submerged hollow fiber membrane system","Desalination","2014-11-27"
"Distribution pattern of coniferous seedlings after a partial harvest along a creek in a Canadian Pacific northwest forest","Q13442814","Q56794616","10.1007/s10310-015-0479-0","Distribution pattern of coniferous seedlings after a partial harvest along a creek in a Canadian Pacific northwest forest","Journal of Forest Research","2015-02-03"
"Do riparian buffer strips mitigate the impacts of clearcutting on small mammals?","Q13442814","Q56794616","10.1016/s0006-3207(02)00357-9","Do riparian buffer strips mitigate the impacts of clearcutting on small mammals?","Biological Conservation","2003-04-04"
"Do riparian zones qualify as critical habitat for endangered freshwater fishes?","Q13442814","Q56794616","10.1139/f10-063","Do riparian zones qualify as critical habitat for endangered freshwater fishes?","Canadian Journal of Fisheries and Aquatic Sciences","2010-07-07"
"Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as native vegetation?","Q13442814","Q56794616","10.1002/ecs2.1779","Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as native vegetation?","Ecosphere","2017-04-10"
"Does small‐bodied salmon spawning activity enhance streambed mobility?","Q13442814","Marwan Hassan","10.1002/2015wr017079","Does small‐bodied salmon spawning activity enhance streambed mobility?","Water Resources Research","2015-08-21"
"Does trophic position of the omnivorous signal crayfish (Pacifastacus leniusculus) in a stream food web vary with life history stage or density?","Q13442814","Q56794616","10.1139/f05-167","Does trophic position of the omnivorous signal crayfish (Pacifastacus leniusculus) in a stream food web vary with life history stage or density?","Canadian Journal of Fisheries and Aquatic Sciences","2005-11-21"
"Does variable channel morphology lead to dynamic salmon habitat?","Q13442814","Marwan Hassan","10.1002/esp.4726","Does variable channel morphology lead to dynamic salmon habitat?","Earth Surface Processes and Landforms","2019-08-28"
"Does water velocity influence optimal escape behaviors in stream insects?","Q13442814","Q56794616","10.1093/beheco/arp182","Does water velocity influence optimal escape behaviors in stream insects?","Behavioral Ecology","2009-12-18"
"Double-funneling of trees: Stemflow and root-induced preferential flow","Q13442814","Mark Johnson","10.2980/i1195-6860-13-3-324.1","Double-funneling of trees: Stemflow and root-induced preferential flow","Écoscience","2007-01-13"
"Drag forces on large cylinders","Q13442814","Marwan Hassan","10.1002/rra.2868","Drag forces on large cylinders","River Research and Applications","2015-01-19"
"Drainage basin dynamics and morphology","Q13442814","Marwan Hassan","10.1016/0378-3839(79)90023-1","Drainage basin dynamics and morphology","Coastal Engineering","2003-03-14"
"Drinking Water Treatments for Arsenic and Manganese Removal and Health Risk Assessment in White Rock, Canada","Q13442814","Madjid Mohseni","10.1007/s12403-019-00338-4","Drinking Water Treatments for Arsenic and Manganese Removal and Health Risk Assessment in White Rock, Canada","Exposure and Health","2019-12-20"
"Drinking Water Treatments for Arsenic and Manganese Removal and Health Risk Assessment in White Rock, Canada","Q13442814","Rehan Sadiq","10.1007/s12403-019-00338-4","Drinking Water Treatments for Arsenic and Manganese Removal and Health Risk Assessment in White Rock, Canada","Exposure and Health","2019-12-20"
"Drinking water infrastructure assessment: the national research council of canada perspective","Q13442814","Rehan Sadiq","10.1061/41036(342)67","Drinking water infrastructure assessment: the national research council of canada perspective","World Environmental and Water Resources Congress 2009","2009-07-27"
"Drinking water management and governance in Canada: an innovative Plan-Do-Check-Act (PDCA) framework for a safe drinking water supply","Q13442814","Rehan Sadiq","10.1007/s00267-017-0873-9","Drinking water management and governance in Canada: an innovative Plan-Do-Check-Act (PDCA) framework for a safe drinking water supply","Environmental Management","2017-04-19"
"Drinking water quality assessment in distribution networks: A water footprint approach","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2021.145844","Drinking water quality assessment in distribution networks: A water footprint approach","Science of The Total Environment","2021-02-16"
