"Len","P31","P50","P356","P1476"
"Experimental Investigations and CFD Modeling of Contaminant Intrusion in a Water Network during Transient Events","Q13442814","Rehan Sadiq","10.3390/w11071425","Experimental Investigations and CFD Modeling of Contaminant Intrusion in a Water Network during Transient Events"
"Experimental and CFD analysis of photocatalytic gas phase vinyl chloride (VC) oxidation","Q13442814","Madjid Mohseni","10.1016/j.ces.2004.01.017","Experimental and CFD analysis of photocatalytic gas phase vinyl chloride (VC) oxidation"
"Experimental increases and reductions of light to streams: effects on periphyton and macroinvertebrate assemblages in a coniferous forest landscape","Q13442814","Q56794616","10.1007/s10750-010-0331-7","Experimental increases and reductions of light to streams: effects on periphyton and macroinvertebrate assemblages in a coniferous forest landscape"
"Experimental local heat transfer in a circulating fluidized bed","Q13442814","Madjid Mohseni","10.1016/b978-0-08-036225-0.50029-0","Experimental local heat transfer in a circulating fluidized bed"
"Experimental study and CFD modelling of a two-phase slug flow for an airlift tubular membrane","Q13442814","Pierre Bérubé","10.1016/j.ces.2009.04.048","Experimental study and CFD modelling of a two-phase slug flow for an airlift tubular membrane"
"Experimental study of sediment supply control on step formation, evolution, and stability","Q13442814","Marwan Hassan","10.5194/esurf-8-855-2020","Experimental study of sediment supply control on step formation, evolution, and stability"
"Experimental study on the stability and failure of individual step-pool","Q13442814","Marwan Hassan","10.1016/j.geomorph.2018.03.023","Experimental study on the stability and failure of individual step-pool"
"Experimental test of water, nutrients, and microclimate on leaf litter mass loss in headwater riparian forests","Q13442814","Q56794616","10.1002/ecs2.2478","Experimental test of water, nutrients, and microclimate on leaf litter mass loss in headwater riparian forests"
"Experimental validation of a hydrodynamic CFD model of a hollow fiber MBR using shear intensity measurements","Q13442814","Pierre Bérubé","10.2175/193864710798217151","Experimental validation of a hydrodynamic CFD model of a hollow fiber MBR using shear intensity measurements"
"Experiments on surface structure and partial sediment transport on a gravel bed","Q13442814","Marwan Hassan","10.1029/2000wr900055","Experiments on surface structure and partial sediment transport on a gravel bed"
"Expert Knowledge Base in Integrated Maintenance Models for Engineering Plants","Q13442814","Rehan Sadiq","10.1007/978-3-319-32229-2_36","Expert Knowledge Base in Integrated Maintenance Models for Engineering Plants"
"Expert views on strategies to increase water resilience: evidence from a global survey","Q13442814","Q58348879","10.5751/es-11302-240428","Expert views on strategies to increase water resilience: evidence from a global survey"
"Exploring Scientists’ Values by Analyzing How They Frame Nature and Uncertainty","Q13442814","Gunilla Öberg","10.1111/risa.13701","Exploring Scientists’ Values by Analyzing How They Frame Nature and Uncertainty"
"Exploring the Relationship between Soil Properties and Deterioration of Metallic Pipes Using Predictive Data Mining Methods","Q13442814","Rehan Sadiq","10.1061/(asce)cp.1943-5487.0000032","Exploring the Relationship between Soil Properties and Deterioration of Metallic Pipes Using Predictive Data Mining Methods"
"Exposing the myths of household water insecurity in the global North: A critical review","Q13442814","Leila M. Harris","10.1002/wat2.1486","Exposing the myths of household water insecurity in the global North: A critical review"
"Exposure to Crystalline Silica Inhalation Among Construction Workers: A Probabilistic Risk Analysis","Q13442814","Rehan Sadiq","10.1080/10807039.2012.707931","Exposure to Crystalline Silica Inhalation Among Construction Workers: A Probabilistic Risk Analysis"
"Extracting High Resolution Snow Distribution Information with Inexpensive Autonomous Cameras","Q13442814","Steven Weijs","10.29007/93gh","Extracting High Resolution Snow Distribution Information with Inexpensive Autonomous Cameras"
"Extracting local information from crowds through betting markets","Q13442814","Steven Weijs","10.2139/ssrn.1719046","Extracting local information from crowds through betting markets"
"Fabrication and testing of a miniaturised water quality monitoring ph and conductivity sensors","Q13442814","Rehan Sadiq","10.1016/j.snb.2013.12.002","Fabrication and testing of a miniaturised water quality monitoring ph and conductivity sensors"
"Facilitating interdisciplinary work: Using quality assessment to create common ground","Q13442814","Gunilla Öberg","10.1007/s10734-008-9147-z","Facilitating interdisciplinary work: Using quality assessment to create common ground"
"Fallow management practices in Guatemala's Western Highlands: Social drivers and biophysical impacts","Q13442814","Mark Johnson","10.1002/ldr.832","Fallow management practices in Guatemala's Western Highlands: Social drivers and biophysical impacts"
"Fate of drilling waste discharges and ecological risk assessment in the Egyptian Red Sea: an aquivalence-based fuzzy analysis","Q13442814","Rehan Sadiq","10.1007/s00477-012-0574-0","Fate of drilling waste discharges and ecological risk assessment in the Egyptian Red Sea: an aquivalence-based fuzzy analysis"
"Fate of drilling wastes in the marine environment","Q13442814","Rehan Sadiq","10.1016/s0098-3004(99)00135-1","Fate of drilling wastes in the marine environment"
"Fault and event tree analyses for process systems risk analysis: uncertainty handling formulations","Q13442814","Rehan Sadiq","10.1111/j.1539-6924.2010.01475.x","Fault and event tree analyses for process systems risk analysis: uncertainty handling formulations"
"Fault tree analysis based on TOPSIS and triangular fuzzy number","Q13442814","Rehan Sadiq","10.1007/s13198-014-0323-5","Fault tree analysis based on TOPSIS and triangular fuzzy number"
"Feasibility of OFMSW co-digestion with sewage sludge for increasing biogas production at wastewater treatment plants","Q13442814","Q88314953","10.1007/s41207-017-0031-z","Feasibility of OFMSW co-digestion with sewage sludge for increasing biogas production at wastewater treatment plants"
"Filtration and cleaning performances of PVDF membranes aged with exposure to sodium hypochlorite","Q13442814","Pierre Bérubé","10.1016/j.seppur.2017.12.004","Filtration and cleaning performances of PVDF membranes aged with exposure to sodium hypochlorite"
"Fine particles in small steepland streams: physical, ecological and human connections","Q13442814","Marwan Hassan","10.2495/978-1-84564-091-0/05","Fine particles in small steepland streams: physical, ecological and human connections"
"Fine sediment on leaves: shredder removal of sediment does not enhance fungal colonisation","Q13442814","Q56794616","10.1007/s00027-011-0245-0","Fine sediment on leaves: shredder removal of sediment does not enhance fungal colonisation"
"Fish communities of the lower Fraser River (Canada) and a 21-year contrast","Q13442814","Q56794616","10.1023/a:1007681332484","Fish communities of the lower Fraser River (Canada) and a 21-year contrast"
"Fit-for-purpose wastewater treatment: Conceptualization to development of decision support tool (I)","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2017.06.269","Fit-for-purpose wastewater treatment: Conceptualization to development of decision support tool (I)"
"Fit-for-purpose wastewater treatment: Testing to implementation of decision support tool (II)","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2017.06.268","Fit-for-purpose wastewater treatment: Testing to implementation of decision support tool (II)"
"Flat-plate microbial fuel cell operation using different ion-exchange and size-selective separators","Q13442814","Madjid Mohseni","10.1149/ma2013-01/13/642","Flat-plate microbial fuel cell operation using different ion-exchange and size-selective separators"
"Flow refugia for benthic macroinvertebrates during flooding of a large river","Q13442814","Q56794616","10.2307/1468007","Flow refugia for benthic macroinvertebrates during flooding of a large river"
"Flow routing for delineating supraglacial meltwater channel networks","Q13442814","Marwan Hassan","10.3390/rs8120988","Flow routing for delineating supraglacial meltwater channel networks"
"Flow‐substrate interactions create and mediate leaf litter resource patches in streams","Q13442814","Q56794616","10.1111/j.1365-2427.2005.01499.x","Flow‐substrate interactions create and mediate leaf litter resource patches in streams"
"Fluorescence excitation emission matrices for rapid detection of polycyclic aromatic hydrocarbons and pesticides in surface waters","Q13442814","Nicolas Peleato","10.1039/c8ew00821c","Fluorescence excitation emission matrices for rapid detection of polycyclic aromatic hydrocarbons and pesticides in surface waters"
"Fluorescence index as an indicator of dissolved organic carbon quality in hydrologic flowpaths of forested tropical watersheds","Q13442814","Mark Johnson","10.1007/s10533-011-9595-x","Fluorescence index as an indicator of dissolved organic carbon quality in hydrologic flowpaths of forested tropical watersheds"
"Fluorescence spectroscopy for monitoring reduction of natural organic matter and halogenated furanone precursors by biofiltration","Q13442814","Nicolas Peleato","10.1016/j.chemosphere.2016.03.018","Fluorescence spectroscopy for monitoring reduction of natural organic matter and halogenated furanone precursors by biofiltration"
"Fluvial adjustment of the Lower Jordan River to a drop in the Dead Sea level","Q13442814","Marwan Hassan","10.1016/s0169-555x(01)00187-8","Fluvial adjustment of the Lower Jordan River to a drop in the Dead Sea level"
"Fluvial and epilithic organic matter dynamics in headwater streams of southwestern British Columbia, Canada","Q13442814","Q56794616","10.1127/archiv-hydrobiol/149/2000/109","Fluvial and epilithic organic matter dynamics in headwater streams of southwestern British Columbia, Canada"
"Fluvial clastic sediment yield in Canada: scaled analysis","Q13442814","Marwan Hassan","10.1139/e99-034","Fluvial clastic sediment yield in Canada: scaled analysis"
"Fluvial response to changes in the magnitude and frequency of sediment supply in a 1-D model","Q13442814","Marwan Hassan","10.5194/esurf-6-1041-2018","Fluvial response to changes in the magnitude and frequency of sediment supply in a 1-D model"
"Food, microhabitat, or both? Macroinvertebrate use of leaf accumulations in a montane stream","Q13442814","Q56794616","10.1111/j.1365-2427.1992.tb00531.x","Food, microhabitat, or both? Macroinvertebrate use of leaf accumulations in a montane stream"
